Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
urban,Khulna,25,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Rajshahi,28,Unemployed,High school,Single family,married with children,1,0,0%,Within the 1st month of marriage,Mental,Verbal,In the house,Arranged Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Partially satisfied,Husband is not capable,Dissatisfied,No,0
urban,Barisal,23,Employed,Graduate,Joint family (with in-laws),married without children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Mental, verbal","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,20,Businessman,Graduate,Single family,married with children,1,25001-50000,11-30%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Chittagong,28,Businessman,Graduate,Joint family (with in-laws),married without children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,Mental,In the house,Love Marriage,Both previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Fully satisfied,Yes,0
urban,Dhaka,25,Employed,Postgraduate,Single family,married with children,1,25001-50000,11-30%,Within the 1st month of marriage,"Physical, verbal","Physical, mental, verbal",In the house,Love Marriage,Husband previously divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Partially dissatisfied,No,0
suburban,Dhaka,41,Employed,High school,Joint family (with in-laws),married with children,1,5001-10000,31-50%,After 12 months of marriage,"Physical, mental, verbal","Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rangpur,35,Businessman,Postgraduate,Single family,married with children,1,25001-50000,11-30%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Both previously divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,No,0
suburban,Rangpur,22,Employed,High school,Joint family (with in-laws),married with children,1,15001-25000,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
suburban,Dhaka,31,Employed,Postgraduate,Joint family (without in-laws),married with children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Wife previously divorced,0-1 year,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,26,Employed,Postgraduate,Joint family (without in-laws),married without children,1,15001-25000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Wife previously divorced,3-5 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Barisal,32,Unemployed,High school,Single family,married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,1-3 years,Wife involved in adultery,Fully satisfied,Wife is not capable,Partially dissatisfied,Yes,0
suburban,Chittagong,41,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Partially satisfied,Yes,0
urban,Dhaka,22,Employed,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,1-10%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,No,1
urban,Rajshahi,41,Businessman,Postgraduate,Single family,married with children,0,25001-50000,31-50%,After 12 months of marriage,Mental,Mental,In the house,Love Marriage,Both previously divorced,More than 10 years,Wife involved in adultery,Fully satisfied,Wife is not capable,Partially dissatisfied,Yes,0
suburban,Khulna,43,Employed,Graduate,Joint family (with in-laws),married with children,1,5001-10000,1-10%,After 12 months of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Fully satisfied,No,0
urban,Khulna,25,Employed,Postgraduate,Joint family (with in-laws),married with children,0,15001-25000,31-50%,Within 6 months to 12 months of marriage,Verbal,Mental,In the house,Love Marriage,Both previously divorced,More than 10 years,Both involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Khulna,36,Student,High school,Joint family (with in-laws),married with children,1,15001-25000,11-30%,Within the 1st month of marriage,Verbal,"Physical, verbal",In the house,Love Marriage,Wife previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,33,Businessman,High school,Joint family (with in-laws),married without children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Rangpur,26,Employed,High school,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,Verbal,Mental,In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Dissatisfied,Yes,0
urban,Dhaka,22,Businessman,High school,Joint family (with in-laws),married with children,1,25001-50000,31-50%,Within the 1st month of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Both previously divorced,3-5 years,Both involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,Yes,0
urban,Sylhet,39,Employed,Postgraduate,Joint family (with in-laws),married without children,1,15001-25000,1-10%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Rangpur,33,Businessman,Graduate,Single family,married with children,1,50000-More,51-75%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Dhaka,39,Employed,High school,Single family,married without children,1,50000-More,11-30%,After 12 months of marriage,Mental,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are incapable,Satisfied,Yes,0
rural,Dhaka,29,Unemployed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Dhaka,29,Unemployed,High school,Single family,married with children,1,0,0%,Within 6 months to 12 months of marriage,"Mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
suburban,Mymensingh,30,Abroad,Graduate,Single family,married with children,1,25001-50000,31-50%,Within the 1st month of marriage,Verbal,Mental,Both indoors and outdoors,Arranged Marriage,Husband previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Satisfied,Yes,0
suburban,Barisal,30,Businessman,Graduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Dhaka,28,Employed,Postgraduate,Single family,married without children,1,15001-25000,11-30%,Within 6 months to 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Rajshahi,29,Employed,Postgraduate,Joint family (with in-laws),married without children,0,15001-25000,51-75%,After 12 months of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,1
urban,Comilla,45,Businessman,Graduate,Single family,married with children,0,25001-50000,1-10%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are incapable,Fully dissatisfied,No,0
urban,Dhaka,34,Unemployed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,Within 6 months to 12 months of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,No,0
suburban,Rangpur,21,Employed,Graduate,Joint family (with in-laws),married without children,1,15001-25000,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,Both indoors and outdoors,Love Marriage,Wife previously divorced,3-5 years,Husband involved in adultery,Fully satisfied,Both are incapable,Dissatisfied,No,0
urban,Chittagong,44,Unemployed,Graduate,Single family,married with children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",Both indoors and outdoors,Arranged Marriage,Wife previously divorced,More than 10 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,1
suburban,Dhaka,24,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,51-75%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Physical, verbal",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
suburban,Dhaka,27,Employed,Graduate,Joint family (without in-laws),married with children,0,5001-10000,0%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Rajshahi,24,Unemployed,High school,Single family,married with children,1,0,0%,Between 2nd to 6th month of marriage,"Mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
suburban,Dhaka,21,Abroad,High school,Joint family (with in-laws),married with children,1,25001-50000,31-50%,Between 2nd to 6th month of marriage,"Physical, verbal","Physical, verbal",In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,1
urban,Chittagong,31,Employed,Graduate,Joint family (with in-laws),married without children,1,15001-25000,51-75%,Within 6 months to 12 months of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Dhaka,20,Employed,High school,Joint family (without in-laws),married without children,1,15001-25000,11-30%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Fully satisfied,Wife is not capable,Dissatisfied,No,0
suburban,Rangpur,24,Unemployed,Graduate,Single family,married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Husband previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Both are incapable,Dissatisfied,No,0
urban,Dhaka,25,Employed,High school,Single family,married without children,1,15001-25000,51-75%,Between 2nd to 6th month of marriage,Verbal,Mental,Both indoors and outdoors,Arranged Marriage,Both previously divorced,0-1 year,Wife involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
